,JwMarriot_reviews
2642,We have stayed in JW Marriott Hotel Mumbai  for 3 days and it was an amazing experience. The staff was very helpful and accommodating. We were there with my friends for Holidays. We have enjoyed the food a lot. The spa was awesome experience specially in India.
2643,"Excellent hotel in suburbs.  Lots of greenery, lights look beautiful at night.   sea view, beach access, outdoor swimming pools.  Spa services, coffee station, business centers, disco rooms.  morning buffet breakfast and lunch buffet superb."
2644,"My parents stayed in JW last weekend and they don't have words to express! the service, food, ambience was beyond excellent! Vaibhav Negandhi was the reservation staff that they interacted with and he was extremely courteous and knowledgeable.  Thank you mariott!"
2645,"Perfect hotel in Mumbai, great oasis to disconnect from the hustle and bustle of Mumbai Unlike many hotels in Mumbai, lots of close by restaurants that are in walking distance The restaurants in the hotel are great as well, if possible ask for a room facing beach"
2646,"Spent 5 nights here. Comfortable, good ambience, only sticky point was the daily buffet dinner at the coffee shop which wasn't organized very well. The hotel also needs to put up a larger sign on the main road outside, as it's difficult to see. Facilities are great."
2647,"I had stayed at the JW Marriott before and used to love the hotel for everything so grand but it all changed today , was staying for one night on the 16 September, all went well till I woke up the next  morning for my meeting and dashed into the bathroom just to notice that there was no water in the shower I was fiddling with it for 10 minutes if I was doing anything wrong but finally gave up, called the maintenance guy who came after 10 minutes , and he came and told me that they had some electricity breakdown in which pressure pump was not working but said that he had fixed it up  and I could finally take a shower, took a shower finally and checked out . I asked for the duty manager while checking out and briefed him about this fiasco and rushed for the meeting haven't heard"
2648,"A beautiful hotel in an excellent location. It's placed right on the beach so you can access Juhu Beach from the swimming pool. Very clean rooms, fabulous hotel staff and restaurant team who would go out if their way to make you feel at home."
2649,"I've written a review for this hotel before, and given it exactly the same rating. Now, having stayed there on 5 separate occasions, I thought it was time to come back and do an update. This is not least because readers should know that special things happen on your 5th visit to the JWM in Mumbai (special rewards for loyalty, like massages and other treats). This is one of the most consistent hotels I have stayed in over the past few years, brilliantly located and equally good for both business and leisure. The rooms (those that have been renovated most recently) are ample, comfortable and luxurious. Special mention for universal adapters at all plug points - this is a very handy thing that all hotels should start doing! Breakfast is sumptuous, and for business clients airport"
2650,I have not seen any other hotel in Mumbai with such a great ambience. Excellant food with lot of varieties. The pool side rooms are so good you dont feel like coming out. This is athe best place for business meetings if you want near airport. Many film star are seen very frequently. Problably this is best hotel known for its food and service and of course great ambience.
2651,Celebrating my brother's birthday in a nice luxurious room with a view with the most relaxing atmosphere after a nice Summer vacation. Great Customer Service. Always neatly kept spotless. I have no complaints. Spacious and worth the price. Towels are fresh came here to  enjoy the pool. Friendly  very comfortable. I would definitely reccomend this hotel to my friends.
2652,"My second stay here and what can i say? This is the best place in mumbai to come in after a long flight from US and to unwind. The service is always excellent. This is a very happening place and always something exciting going on. Breakfast at lotus was not the best (it was good, dont get me wrong) and there are excellent dinner options nearby if you dont want to dine in.  The renovated executive lounge is fantastic and has a great view. The rooms are flawless and the lobby is one of the best. If you want to relax in mumbai and get pampered this is the place to visit."
2653,"Well what can i say. cant seem  to find a flaw here. You have to actually be here to experience the grandness and finesse of this Marriott property. The who's who of India and around the world chose this property for their stay and fine dining experience. The food in all the restaurants is bursting with taste. And yes, the pool overlooking the beach reminds one of Goa. This place has it all, this place is it!!!"
2654,Hotel is good but some services not in order.very expensive ...but fine dinning at saffron was a real experience.long time renovations taking place so the fun is missing.also club lounge shifted n food served is here is not upto Marriott standards.situated near airport n zuhu beach so I luv the surroundings n easy approach.
2655,"One of the best 5 star hotels in the world, excellent hospitality and customer care. I have travelled all over the world but till date I would grade JW marriot mumbai no.1 and would definitely stay over again."
2656,JW Marriott Hotel is minutes away from Juhu Beach and close to Shoppers Stop. This 5-star hotel is within close proximity of Versova Beach and Infinity Mall. wired and wireless Internet access is available for a surcharge. Very Good service.
2657,"This is one of the best hotel in India, very prime location, juhu beach is just walking distance from this hotel, hotel food, coffee shop and ambience of the hotel is amazing. This is the first choice of my wife as well as my kids. Hotel staff, reception staff is well behaved and well mannered. Sea view rooms are amazing, you feel like you are staying in the water. You feel like home in JW Marriot."
2658,"I stayed at this hotel in January 2013. This is ideal for business travellers and also families wishing to see Mumbai. It is situated in Juhu, where a lot of the film stars live. There was a press conference for a new Hindi film when we were staying there. The rooms are very spacious and the food in the hotel in fantastic. Staff all very helpful and ready to give tips about what is going on in Mumbai."
2659,My and my family have always stayed at the JW every time we have visited Mumbai.  The service and the breakfast is out of this world.  Of all the places I have travelled and of all the hotels I have stayed at JW service and the breakfast beats them all.  The hotel is so centerally located to all shopping outlets.  The price is a bit high but if you are coming in from Europe/Americas what you pay for is nothing compared to the luxuries you get a this hotel.  My fav hotel by far.
2660,"Our first choice whenever we visit Mumbai is the JW Marriott. A wonderful modern hotel situated in the Juhu part of this vibrant city, the location allows one to get to the interesting shopping parts of Mumbai easily as well as end the day in a relaxing comfortable location.  The service is stellar, which one would expect anyway in this part of the world; Indian hospitality is on another level and the warmth and homely feeling despite the size of the hotel is instantly felt. A great touch which the hotel often seems to get right is when guests arrive and are driven up the driveway in the hotel pick up car, the doorman greets you by name when he opens your door. This has happened with my family several times and I always feel that it is a truly personal touch when arriving at a"
2661,"JW Marriott in Juhu, Mumbai is an incredible hotel. We had two rooms booked sea facing and it was out of this world. Right from check in to going to the room, the hotel staff was excellent. The room we had connecting one suite and one room with two twin beds. Alll in al we had three bathrooms. The room are great and equipped with all the amenities needed. I was very impressed. The beds were very cozy and the rooms were sound proof as we heard no outside noise. The breakfast buffet was very lavish and I loved it, the staff at the buffet to name a few were great, Vinod, Nico and Ekta. My family was always very relaxed at the buffet and they ejoyed it immensely. The lotus resturant was very spacious and did not feel cramped at all. The reception area was grand and very inviting as"
2662,"Let me start this review with the clarity of the following: 1- I inadvertently booked the wrong rate online at the time of booking. 2- I fully understand this was MY error and own it wholeheartedly.  The issues started upon my checking in of 2 rooms at a discounted rate. We were greeted warmly and checked in accordingly. I do not speak Hindi and could tell there was some issue as the young lady called over 2 people to assist her during the process.   No one said anything to us so we simply waited patiently and was escorted into our rooms after a short while. Upon reaching the room, we were asked for our credit card and the number was manually written down on a piece of paper. I was concerned about privacy issues with having the number retained after the transaction was over. I"
2663,"I travelled to Mumbai for 5 nights on business and my stay at the Marriott was very good from beginning to end. I dined in the Italian (very good) and Spices (didn't enjoy so much) and the service was excellent in both. The spa was amazing and I had a really good massage with a lovely masseuse. Very relaxing environment - would definitely recommend.  The gym was excellent, something I don't see regularly in the hotels I've stayed in before. The equipment was modern and in good condition - I enjoyed a couple of sessions.  Rooms were lovely, very spacious and clean. The shower was lovely. Mini bar was let well stocked and the really had thought of everything. All in all a great hotel - would recommend to stay."
2664,"Having stayed recently at the JW in Pune and rated it as probably the best i have ever experienced I was advised to give this hotel a try, I was not disappointed, whoever trains the staff at JWs deserves a massive credit, the staff here were exceptional.  I had 2 VERY minor issues, one was my second glass of (real) fresh orange did not arrive, so I noted it on my assessment with the bill. Within 30 mins I was contacted personally to apologise and explain - unbelievable! The food in the Italian restaurant was fantastic, how wonderful to get a proper portion of lamb,so often a couple of tiny chops! And perfectly cooked as well. The 'street food' in the restaurant was a truly brilliant idea, everyone raves about Indian street food, but I was naturally reluctant to 'go for it' at"
2665,"Stayed at the JW Marriott for one night while transiting between the International and domestic aiports, in the middle of a long trip with quite a number of 5 star hotels from different chains.  Compared to the others in the areas of service and room quality, the JW Marriott was somewhat below average.  The check-in process was ridiculous-- it took nearly 30 minutes, for no apparent reason.  The room was quite small for the price.  That said, the breakfast and restaurant experience was really outstanding.  This was easily the best breakfast spread I've had anywhere (and I've seen many!) - both in terms of the variety and the quality of the food offerings, to say nothing of the beautiful view.  The restaurant staff was also very attentive; the Food and Beverage manager himself"
2666,I stayed here for 2 days to attend a seminar organised by our company. The room was overlooking the beach. Nice and spacious. They really treat you royally. Right from airport to hotel reception. I especially liked the welcome ceremony done in traditional way. Food was excellent. One of  the best 5 star hotels in India.
2667,"I was staying at this property between 02/08/2013 & 04/08/2013. If I was to sum it all up in one word, I would say brilliant!! We had two different rooms booked here, one being the Premiere Club Executive Room & the other being a Deluxe Room.  I would only recommend booking the Premiere Club Room, as it is adequately spacious and the Ocean View Room provide the best views overlooking the sea. During our stay we did manage to acquaint ourselves with many celebrities.  The advantage of staying at this property is the location.  It is in the center of most of the tourist spots around Mumbai.  Coming to the service, well it is definitely commendable, the personal attention that one receives at this property is phenomenal.  One actually feels like a personal guest here.  We did for"
2668,"I was at the JW Marriott Mumbai in October of 2010 for business and could not have had a better time. The Hotel was immaculate and the Restaurant was just the best. Other than my own room door, I don't think I opened a door my entire week there. They treat you like a king. Mumbai is very stark so Americans will be surprised that you have a very nice hotel next to poverty, but that is part of the experience of staying here."
2669,"Stayed recently at the hotel by accident. We were booked at Four Seasons Worli but due to the distance involved in going into town we decided to stay at the Marriott.  I m glad we decided to stay here. The hotel is conveniently located to the airport and all the major residential suburbs of Bandra, Andheri and Santa Cruz. In Mumbai that is definately a plus. The rooms are neat and functional. Staff are courteous and know their job. We had drinks with friends at the Aurela..... It has a lovely table in the open with a direct view of the beach..... Food is great and the ambience a delight. Definitely to be recommended. Would like to return to this property in the future."
2670,"I went there on my wedding anniversary with my family and booked 3 rooms.This hotel seriously needs renovation from outside. We had gone for a family outing but there was hardly anything for family and children.The beach outside was very dirty. It is a business hotel. If you are living in Mumbai then Resort at Madh is better opption for a weekend.The Lotus restaurant, Mezo Mezo and BBC are good,staff is couretous and specially Ami Panchal EA to GM."
2671,"We are regulars at JW Marriott Mumbai and every time it has been a pleasing experience. We stayed at JW Mumbai from the 7th till 11th. The staff are extremely helpful and the food at the Lotus restaurant is outstanding . Special mention to the Chef de Cuisine Stanley Lopes and the Restaurant Manager Giles . Great guys, looked after us really well. The Concierge is very helpful and so is the House keeping . We had a few issues with the house keeping but the supervisor sorted it out really quickly.  Mr & Mrs. S.Lahiri"
2672,"I stayed twice here. once in july n second time inaugust. first time (I can give room number also - 464) the AC stoppeed working at 2am. I had to call in service guys n they fixed. no worries in that, but guys, y should I get up at 2 when I'm staying in executive room.... second time I stayed before a day. the bathroom pipeline or gutter line was probably blocked. after 10min I saw everything was flooded. this is not done guys. didnt expect this.  still I would say, except these two probs, every damn thing was perfect in marriot. but mood was spoiled cuz of these probs"
2673,"Perhaps one of the best customer experiences I've had during a stay at a hotel. The staff, lounge, and food at the hotel is superb. The restaurant Aurela is truly a great experience with a staff that understands all types of drinks and makes the experience memorable."
2674,"my experience with jw marriott was great. the breakfast spread was excellent and had many choices. the hotel is so active and full of life. it  has many people coming and going all the time. i have stayed here couple of times and i always have enjoyed it.  you always land up seeing some socialite , actor, actress, producer etc over here. the gym was also veryt good. the rooms are very comfortable and has polite staff."
2675,Stayed at the Marriott hotel last night and it was a fab experience.. The hotel room is very good and the staff is amazing! Right from the reception to the pool to the kids club and their cafe all excellent people.. Ganesh at the lotus cafe was extremely friendly and agnes aunty in the kids club was such a warm person to our kids... The breakfast was soo good and the ambiance was so beautiful with the sitar playing in the background.. I think it's one of the best 5 star in mumbai.. Specially with kids.. Tohali from the reception was so warm to the kids.. She took my little son and got him back with whole load of goodies for him n my daughter.. Marriott great job guys !!
2676,"This hotel in Mumbai is really awesome.. Dont want to repeat everything others have said.  right from the front desk staff Ms.Sana to the bell man, everyone behaved as if their only aim in life is to make your stay prefect.   Breakfast Buffet?  Its a heaven of food with a super mix of many cuisines including cusines from many different states in India itself.  Airlins crew stays in this hotel and I saw them at the breakfast and I can easily say they were having an awesome time."
2677,"Stayed at the hotel my medicine bag went missing from the bathroom.  After complaining to about 10 different levels of staff. Nothing was done.  They said they check security cameras etc.  trying to imply we were lying.  In addition a bottle of juice was left open by mistake. within a few hours the whole bedroom on the 5th floor was crawling with pests.  We asked to change room but was placed in another room overnight while pest control was called in. No up grade, refund or apology was offered by any level of staff.  When we checked out I asked to see the manager.  But was told he was not interested. I will be complaining to JW Marriott head office also. This is not 5 star this is indian 5 star."
2678,"difficult to find a flaw in the hotel, location, decor, staff, rooms all are wonderful. stayed for a night only on official trip, not my first time though, but cudn't stop myself from writing a word or two this time. the restaurant is good, spread is wonderful, people are keen to serve you. rooms were functional and decor is nice. only limited complaint is the bedding which was too soft for my liking.  Didnt get the opportunity to use the pool much as I didnt have time, but it looked great from my room. overall a great place to stay. Not much idea about the tariff as it was a corporate stay"
2679,Amazing hotel right on the beach .It was a resort in the city of Mumbai .Excellent staff who would do anything to please you .  Location was the best and rooms were top spec and comfortable .The breakfast was the best and restaurant was the plus point which is open air area and choice was great .  Overall great hotel to stay in Mumbai
2680,"Wonderful hotel, I had a great stay, entire staff was simply amazing, I had dinner in spices just loved the food there, especially salmon sushi and enjoyed the teppanyaki experience with chef Raul olso had dinner in saffron Chef Qureshi makes outstanding Dal makhani and Lamb Chops I really enjoyed the food and service, Thank you for the great experience."
2681,"I highly recommend JW Marriott, Mumbai, simply excellent!  Beautiful rooms, delicious food, not forgetting to mention the variety of food available within the hotel,one the breakfast and lunch spread ive come across, very friendly, highly motivated and efficent staff, can i just mention, puneet, akshay and akanksha (front desk), you made our stay so much more memorable by providing such excellent service. One the best bars in mumbai is located within the hotel called Arola. A must see! i am looking forward to my next visit, very soon!"
2682,"The food is amazing, Service is beautiful and ambiance is brilliant. The Lotus cafe is the place to be at any point of time. Staff are friendly and service is prompt. Good job by everyone. Specially their breakfast is brilliant. My experience with my meal was stunning. Recommend for everyone ."
2683,"Simply a great experience. Been here with family and with girlfriend both, exotic experience. there is a lot to talk about this amazing place. Especially the food in Spices, the chinese restaurant and ofcourse the location from the other end is Simply SERENE. the food is amazing, the refreshers, the deserts and ofcourse the main course the experience overall including the Ambience and the Royal service provided made me and my partner feel special and that is what makes me go there everytime we are up for a dinner."
2684,i must say one of the best experiences i have had for quite some time. the Lounge is Awesome. The staff is so helpful and polite. one f the best people in the hotel industry i have met. clean and neat. waiting for another occasion to be there again.
2685,"I often travel to Mumbai and I must say JW Marriott is a nice hotel to stay in - of course if you have a nice budget for your trip ! JW Marriott offers a great range  of luxurious rooms - from basic standard to executive ones . My favourite bit in JW is that they have a good range of tea set with good variety of tea and coffee in the room . It also offers a  huge variety in breakfast items every morning. from variety of vegetable juices to authentic indian  dishes such as idli, dosa, paratha, salads etc. I like the fact that the chef serves me special grilled chicken in breakfast as i go for a protein diet in the morning.  They also use the high premium  brand mineral water in hotels, rooms - which is very good. unlike in other hotels, you will find low end brands which forces"
2686,"Location, location, location!!!!  This hotel is located over 20 kilometres north of the city centre. It takes about 90 minutes to get to the centre in the rush hour. It is about 6 kilometres for the international airport, and it takes about 35-40 minutes to get there in the rush hour.  So its not central and its not close to the airport. So what is good about its location? It overlooks the Indian ocean. But this is not a beach resort hotel. You cannot swim due to the pollution, and I saw no one sunning themselves on the beach, it looks more like a playground or thoroughfare. Still the hotel has a great pool and deck chairs to relax in, so there is no need to go to the beach. But then you think- well in that case it could be either downtown or by the airport. There is no good"
2687,"This hotel is in the suburbs of Mumbai not the city itself. But if you're here to shop, see family, or explore the authentic food, this is the place to stay, especially if you're coming from the States. Friendly staff, amazing breakfast buffet where the chef makes anything you want, and beautiful rooms. We had a little trouble using our BA avios but the general manager was accommodating. Be prepared for heavy security when you enter the hotel but this was honestly a lovely vacation attributed to this hotel."
2688,"Me and my wife stayed at this property checked in on 29th june 2013 evening. Right from airport pick up, everything was very well taken care of. Thanks to Miss Toholia for being such a nice host. This was the last property of our this year vacations, starting with leela Chennai to taj madikeri to taj bekal. But out of all of these J W Marriott tops our list, with the sort of services rendered by them. The rooms, the lobby , the restaurant, the spa , the pool,everything was great. My special mention at the management of restaurant ,buffet breakfast and sunday brunch is commendable. The whole team of this restaurant is very nicely placed and making things effective as a great unit. Thanks to mr mannu. My special thanks to Miss Poonam chauhan. All the best to the Marriott team."
2689,"I've stayed at the JW Marriott on five or six separate visits to Mumbai, after trying the Taj Land's End (very good), the Sun and Sand and a couple of others. The JW Marriott is on a higher level entirely. It's a massive place, a grand hotel with a lobby and downstairs dining area that can seem cavernous, but also inspiring.  My room on my most recent stay (June, 2013) was a renovated one -- the hotel is in the midst of a long renovation -- and very comfortable. Luxury touches like an espresso machine were welcome.  The service was excellent, if a bit overdone by western standards. I've learned that extremely attentive service is normal in hotels like this in India, and have managed to let staff know when to step back a bit.  The only flaws I noticed were a few flies in the main"
2690,This hotel is excellent in everything. I stayed seven night in business. The room is premier executive club. Though it was expensive but it worth it. The business center was very helpful and supportive.
2691,"This hotel is an escape from looking at the awful poverty in Mumbai;....I am not used to seeing this much poverty and staying at the lovely Marriott is rather embarrassing.  The hotel is lovely, the food is nice and the gym is great as is the spa. Just embarrassing to be able to go here and see the total poverty throughout the city. Can't fault the hotel with the way Mumbai looks...just the two extremes are hard to deal with....those who can afford this hotel and those who can't.  The gym is very nice, the food is good, and the small gift shop/food store is nice too. Rooms are comfortable and clean. Customer service is nice too."
2692,"This hotel does it all right! It's a compound a tad distance from the heart of town(30 minutes, no traffic) but that keeps it away from danger also. The security seems good and they appear to care. The rooms are nice, great pool, great workout room, the food is excellent. The ATM didn't work, but I assume that problem will be fixed. I would stay there again and for an extended vacation, it's perfect. The views are of a pond/lagoon, very peaceful."
2693,"Jw Stands Out from the world of Organised chaos. As soon as you come in from the huge lobby door, you tend leave the rush life behind and it lets you relax. I specially like The Spices restaurant which serves pan asian cuisine with array of tepan-yaki style. Would Love to go back any day."
2694,Well I stayed 3 nights with my disabled mum and dad and we stayed at 15 more hotels in India after this one all of the same standard and I will say this hotel wins overall from bedding and room comfort to location and service and their hospitality to my mum with their experienced staff and one more thing on the day we left the hotel gave us a book of water bottles to take on our journey to Pune our next stop well how lovely I would come back here again THANKYOU jw
2695,"Have stayed here for several years due to the variety of restaurants, relatively safe walking & shopping and on the beach. Hotel has been going through renovation so half of the hotel is not available.  Great staff and restaurants (Spanish, Italian, Asian and India plus the huge buffet). Only issue is the Disco has opened which is directly over the SPA, so if you intend to have a massage when open or they are holding an event - not so peaceful.  I cancelled my massage on a Sunday afternoon as they had an event. Staff was good to have told me in advance."
2696,"I have been staying the JW over the past 11 years on trips to India from Australia for business and must have stayed here at least 40 or 50 times. Before the refurbishment this hotel had fallen well behind the other 5 star Mumbai hotels. The job they have done is absolutely wonderful and they have at the same time retained the charm of the hotel. The rooms now are modern , functional and comfortable. Food and beverage are first class and this hotel has definitely returned to the list of top hotels."
2697,My husband and I booked a night in the Juhu JW Marriott to celebrate our wedding anniversary.  It was a disappointment.    The reservation process was painful.  We had a discount voucher as we had recently signed up to the Marriott Club at the hotel.  It took no less than 10 calls to secure the booking.  No one knew how to deal with the voucher and no one took responsibility to sort it out.  On check- in we were offered a recently refurbished room - it was very small and the sea view was only of a couple of  pigeons and a tiny slither of beach. Because it was our anniversary we were given flower and a cake which was lovely but as we started to use the room we noticed things.The bedside lights did not work which the technician finally  managed to get working after 2 attempts but
2698,"Very good location, on the beach with gorgeous views of the ocean. Also, within 20 mins from the airport makes it a good base for both business and leisure. Situated in an uscale suburb of mumbai with good shopping within 10 mins. Here are some specific notes:  General condition : good but a little bit tired and not as great as the ITC's in mumbai. Lobby and main areas are bright, spacious and good for meetings etc.   Rooms: very good, recently done up and has all the facilities needed. Recommendation is to get an ocean facing room. Bathrooms are good size and the beds are comfortable.  Gym: excellent and very big  Pool area: good with a decent sized pool in front of the beach. I think i also saw a kids pool adjacent to the pool are.  Restaurants: a number of different"
2699,Great location for any traveller in Mumbai. Close to the famous Juhu area. Excellent restaurants and cafe for any business meetings. The service is top class. Great place to organize events and conferences.
2700,"J W by far is the finest hotel in the Suburbs of Mumbai. It has well appointed rooms. It has a very grand lobby and offers a very luxurious feel.The Italian restaurant is very good, BBC at lobby level offers great food for anytime of the day. Location of the hotel is unbeatable, situated right on the Juhu Beach. People staying here can walk down to Prithvi Theatre where many good plays are regularly performed."
2701,"The Hotel was magnificent and its landscape was simply breathtaking , had a conference for about 150 people and the experience was outstanding  with every participants praising the hotel for the presentation and service. The staff execution was simply brilliant and made the conference a great success"
2702,"Hotel is good n clean but there is no consistency in the service. Our first trip was excellent however on our second trip, After every room service we ordered, we were asked to pay cash every time as according to them there was no credit in our account, (usually there's an option to add room services charges to the room bill and pay when u check out) it got really annoying.   When we ordered dinner again,  same issue came up, we lost it n called duty manager but it was a waste of time n energy talking to him as he was good for nothing. The catch is sometimes the room service delivery boys do it deliberately so that they get instant tips thats what we felt coz after every cash payment forced on us we would not take the change back...   If u go to Marriott, be aware u gotto make"
2703,"We were personally welcomed by the manager, Vikram, upon check in. He took us for a tour of the property and made every effort to ensure that we looked after. The service was great all the way from the drivers through to the restaurant staff. On one morning we completed the breakfast feedback form and rated the tea as a 3 out of 5. The breakfast manager came to our table to apologise and query how to make it better. The next morning, while the floor was busy with guests having breakfast, someone somehow remebered how we liked our tea served and brought it to us without even requesting it.  Our room was also very comfortable with all the mod cons you would expect.  The location was okay but easy enough to get around with a driver."
2704,"Close to Juhu beach, with a great Asian restaurant, but this property is not quite a 5 star JW Marriott.  The hotel needs some updating (a knob fell off the door while I was in the business center), and the Hotel lacks a recent bar, but the staff tries hard and the property has such tight security, it almost became annoying.  Also disappointing is that the beautiful pool area has a bar, but it does not serve alcohal.  Overall, I will return, but only for short stays."
2705,This hotel is about a 15 minute drive from the Mumbai Airport.  The in house restaurant has really good indian food.  Wifi is free and so is breakfast.  The rooms are decent size and the bed is comfortable.
2706,"My stay in the hotel was only for a night and I did not spend too much time in the hotel so the review is only on my first impression, which however is excellent! The hotel is built on a slope so while on front it looks like a low rise building, it goes down at the back 2 stories to level with the beach. The lobby is so made that the whole of back wall is glass and you get to see the sea and the beach the moment you enter the lobbt. breathtaking view. Very polite and cordial staff. Check-in was a pleasant affair.   The decor is very Art oriented. From lobby to corridors to rooms, digitally printed canvasses adorn the plain walls creating a very interesting effect. Rooms are small but very nice and modern. Beds are king size with snoozer mattresses and very soft cushions and"
2707,"A good hotel. Stayed here as part of an offsite session. Regretted as I was staying on the first floor, right above their discotheque. The vibration and the music was too loud and I could hardly sleep. Overall a good hotel, but the night was terrible for me. Others in the group had a good time though."
2708,"The best hotel in all aspects!! The rooms are well designed, well equipped, staff is smart and very cooperative. This hotel gives the true sense of Indian hospitality. Food is of great taste and ambiance was too.  In short gives true experience of Royal life."
2709,"We frequently stay at this hotel but every time  we stay here it is an experience to remember. The hotel is exceptionally clean and conveniently located on Juhu beach. The rooms are very well appointed, clean and well kept. The staff has an heart of gold and gives you a true feeling of Indian Hospitality which is embedded in that culture. Over all great experience."
2710,"Most things in the man made world lie on either side of a thin line; the line that defines good or bad, to us - humans.  the best thing about the Marriott is the service, attention to individual details. for instance, the temperature knob of my shower, was left as is, after the first day after i put it to my liking. another thing could be the little notes left in my room by the desk or floor manager. also, the height of the table lamp wasn't changed after i set it. (you can also call this lack of attention by the staff, but lets give them the benefit). they also went out of their way to cater to our business needs.   also, the breakfast and lunch buffet is pretty elaborate. the location is also good. if you are a Bollywood fan, you will cherish being here, as you can definitely"
2711,Roughly half the hotel is currently under construction so be aware.   Location is very central and the restaurants are very good.   The benefit for many is the beach location and the stunning views provided is a real plus.
2712,"The JW Marriott in Mumbai is a relatively large hotel located on the Indian Ocean near the Mumbai airport.  The hotel is in a U shape with rooms either facing into the pool area or outside to the surrounding area.  I booked what I thought was the nicest room: ""Premier Club, Executive lounge access, Larger Guest room, King, Pool access"" and found that this room faced not towards the pool area but towards the outside.  This was extremely disappointing - it was loud and a generally unpleasant view.  In addition - I was given a room right next to the elevator which I specifically requested NOT to be given.  I was told that the rooms facing the ocean were not available - even though I booked the most expensive room!  My primary issue with the hotel however was the car service.  We"
2713,"With a 6 month old kid, we decided to spend our wedding anniversary in Mumbai itself and chose JW Marriott for a weekend stay.   The Lobby area completely wins you over with its elevated view of the Arabian Sea.  The staff is very attentive and professional.  There was initial hesitation regarding our upgrade request.  But once they found out about our anniversary, things changed compeltely.   We got a surprise upgrade to the Ocean view Suite, on the topmost floor.  It was completely fabulous with views of the Juhu beach and the sea from the sitting room, bedroom and the master bathroom.  We also got a lovely lily boquet and an exquisite chocolate cake, with compliments from the hotel.  It was already becoming very memorable.  The suite was really well done, freshly renovated"
2714,"Stayed here on business for second time  Service is outstanding!  Feels like a happy place to work for the super-attentive staff, who either enjoy working for Marriott or put on a very good act!  Luxurious and scrupulously clean, lovely room and great restaurants, the buffet restaurant having some of the best curry dishes I have ever eaten!  Also hosts Sergi Arulo Spanish restaurant which is really excellent  Travelled on business but now I want to take the wife!!"
2715,"I hav stayed there this year , my experience was good , i was not upset wit decision staying there , loved the ambiance of hotel specially Fire Blow near pool side was awesome at night , services was better and nice then any of other Marriott . Aarora rest was quite cool to go and sit sea side and cherrish lovely food with drinks , it was nice day spend and was happy by serivces provided there ."
2716,"Just back from a flying tour of India (very small scale!) in which I saw two very different sides to Mumbai - much like it's name change might hint at.  For the first stop over before flying to Kerala we stayed at the Four Seasons. Good hotel, made better by the excellent staff, but not a great location. So on our return to Mumbai to catch our plane home to London we stayed closer to the airport in Juhu Beach at the Marriott.  As we'd spent the last week chilling in Goa we thought it might be nice to have a beach location in the city instead of soaking up the mayhem of Mumbai - as we did at the start of the holiday. We were not disappointed. This side of Mumbai feels like a million miles away from the city I landed in at the beginning of our stay. It might have been my"
2717,"My husband and I have stayed in many 5 * resorts all over the world! The unique quality of this hotel is that it takes ' takes your breath away '. We were awestruck from the moment we entered! The hospitality of all staff goes beyond description. Just as another reviewer mentioned, there is staff member literally waiting at your beck and call. They cannot do enough for you!  Even though there is major renovations going on in the hotel, guests do not see or hear anything.  The 5th floor had stunning views of the ocean, pool and gardens. Even though we stayed in the smokers rooms, being non smokers, we normally cannot stand the smell, but, I must admit, it was absolutely smell free.  The buffet breakfast is out of this world. With live music performances during meal times, there"
2718,Well I stayed 3 nights with my disabled mum and dad and we stayed at 15 more hotels in India after this one all of the same standard and I will say this hotel wins overall from bedding and room comfort to location and service and their hospitality to my mum with their experienced staff and one more thing on the day we left the hotel gave us a book of water bottles to take on our journey to Pune our next stop well how lovely I would come back here again THANKYOU jw
2719,"Room are standard, at least on lower floors, sea view is great, stay and food is overpriced compared to other Marriott hotels and the standards available, probably you pay the price of being in the location close to Bollywood celebrity dwellings ..."
2720,I stayed with my wife. The hotel was very nice and the entrance to the hotel looks amazing. Room are spacious and very clean. The view from the hotel is exceptional. I very much liked this hotel and would definitely travel again.
2721,"This hotel has lovely grounds, however the rooms are very cluttered and look like an Ikea showroom. Why oh why  is it so hard to put a flat sheet between the duvet? And both beds in my room did not have mattress pads. The rooms also have bizarre abstract paintings of men throughout. The guest rooms do not reflect an India feel at all. What a shame in such a culturally beautiful city. The front desk staff can't really seem to bothered and the club within in the hotel, Enigma, is very loud and can be heard in first floor guest rooms. The spa is terribly outdated, good luck getting a locker and the changing room looks like a1970' era bath house with an undertone mildew smell. And don't miss the odd display of a mannequin behind glass submerged in water. Yes my basic needs were"
2722,"I stayed with my wife for 2night...hotel has advantage of Juhu ONLY.  Rooms are very tinny, not good if you are travelling with Family/kids..  another drawback is traffic...hotel road is normally stuck on peek time..."
2723,"This is clearly a 5 star hotel.  The facilities and service left nothing to be desired.  Every time we saw a staff member, including all levels of management (include the hotel General Manager), their first question was ""Is there anything I can do for you?""  And on those rare occasions when we answered in the affirmative, they proceeded to do that immediately.  The food serviced was excellent in all of the several dining facilities we tried in our four days there.    The Executive Lounge is undergoing renovation but they provided more than comparable service using other existing facilities within the hotel.  The location is such that it backs up to Juno Beach, which is great for both swimming and non-water beach activities. The hotel is located closer to the airports than the"
